body_type,km,ownerno,brand,model,modelyear,price_in_lakh,insurance_validity,fuel_type,seats,transmission,top_features_count,comfort_count,safety_count,mileage,color,displacement,city
SUV,79000,1,Audi,Audi Q7,2015,26.95,Comprehensive,Diesel,7,Automatic,9,22,31,12.07,White,2967,Bangalore
SUV,120000,2,Mahindra,Mahindra Scorpio,2010,6.5,Third Party insurance,Diesel,8,Manual,8,10,13,12.05,Gray,2179,Bangalore
Hatchback,10000,1,Renault,Renault KWID,2022,5.5,Third Party insurance,Petrol,5,Automatic,9,10,22,19.095,Others,999,Bangalore
SUV,53645,1,Tata,Tata Nexon,2018,8.25,Comprehensive,Diesel,5,Manual,9,10,20,21.5,White,1497,Bangalore
Hatchback,100000,2,Hyundai,Hyundai Getz,2006,2.2,Third Party insurance,Petrol,5,Manual,9,9,6,15.3,Others,1341,Bangalore
Hatchback,53982,1,Maruti,Maruti Celerio,2014,4.28,Comprehensive,Petrol,5,Automatic,8,10,23,26.68,Others,998,Bangalore
Sedan,110000,1,Skoda,Skoda Rapid,2014,6.95,Third Party insurance,Diesel,5,Manual,9,18,20,21.14,Black,1498,Bangalore
SUV,37741,2,Ford,Ford Ecosport,2019,9.3,Third Party insurance,Petrol,5,Manual,9,20,29,15.9,White,1496,Bangalore
Hatchback,17367,1,Maruti,Maruti Alto 800,2021,4.55,Comprehensive,Petrol,5,Manual,9,6,17,22.05,Silver,796,Bangalore
SUV,94000,1,Hyundai,Hyundai Creta,2017,11.95,Comprehensive,Diesel,5,Manual,9,23,24,19.67,Grey,1582,Bangalore
SUV,33700,1,Tata,Tata Harrier,2021,21.75,Comprehensive,Diesel,5,Automatic,9,17,24,14.6,Grey,1956,Bangalore
Hatchback,54601,3,Maruti,Maruti Swift,2014,4.42,Comprehensive,Petrol,5,Manual,9,11,26,22.38,White,1197,Bangalore
Hatchback,110000,1,Maruti,Maruti Swift,2018,6.9,Third Party insurance,Diesel,5,Manual,9,12,26,28.4,Others,1248,Bangalore
Hatchback,64000,2,Maruti,Maruti Celerio,2017,5.0,Third Party insurance,Petrol,5,Manual,9,11,21,23.1,Red,998,Bangalore
Sedan,40525,1,BMW,BMW 3 Series GT,2016,33.95,Comprehensive,Diesel,5,Automatic,9,28,33,21.76,White,1995,Bangalore
Sedan,100000,1,Maruti,Maruti Ciaz,2015,6.5,Third Party insurance,Diesel,5,Manual,9,16,21,26.21,White,1248,Bangalore
Hatchback,44154,2,Honda,Honda Jazz,2016,5.37,Comprehensive,Petrol,5,Automatic,9,13,22,19.095,White,1199,Bangalore
MUV,70000,1,Renault,Renault Lodgy,2016,7.5,Third Party insurance,Diesel,7,Manual,9,19,24,19.98,White,1461,Bangalore
Sedan,79000,1,Skoda,Skoda Octavia,2018,17.9,Comprehensive,Petrol,5,Automatic,9,25,31,15.1,White,1798,Bangalore
Hatchback,68039,2,Tata,Tata Tiago,2017,4.68,Third Party insurance,Petrol,5,Manual,9,10,22,23.84,Orange,1199,Bangalore
Hatchback,60000,2,Maruti,Maruti Ritz,2014,4.2,Third Party insurance,Petrol,5,Manual,8,10,16,18.5,Silver,1197,Bangalore
Hatchback,10000,1,Hyundai,Hyundai i20,2021,9.2,Third Party insurance,Petrol,5,Manual,9,27,35,19.095,Others,998,Bangalore
Sedan,49873,1,Honda,Honda City,2013,5.33,Third Party insurance,Petrol,5,Manual,9,14,17,16.8,Yellow,1497,Bangalore
Hatchback,90000,3,Volkswagen,Volkswagen Polo,2013,8.5,Third Party insurance,Petrol,5,Automatic,9,11,16,17.2,Others,1197,Bangalore
Sedan,48960,2,Skoda,Skoda Rapid,2017,7.51,Third Party insurance,Diesel,5,Manual,9,22,27,21.13,Silver,1498,Bangalore
Hatchback,70000,2,Hyundai,Hyundai Grand i10,2014,3.88,Third Party insurance,Diesel,5,Manual,8,8,13,19.095,Others,1120,Bangalore
Hatchback,68000,2,Hyundai,Hyundai i20,2013,4.9,Comprehensive,Petrol,5,Manual,9,10,19,18.5,Silver,1197,Bangalore
SUV,23017,1,Mahindra,Mahindra KUV 100,2016,4.94,Third Party insurance,Diesel,6,Manual,9,10,20,25.32,Orange,1198,Bangalore
Hatchback,83000,2,Hyundai,Hyundai i20,2013,5.25,Comprehensive,Diesel,5,Manual,9,11,20,21.27,Brown,1396,Bangalore
SUV,92000,2,BMW,BMW X3,2016,28.9,Comprehensive,Diesel,5,Automatic,9,25,40,16.55,White,1995,Bangalore
Hatchback,62139,1,Maruti,Maruti Wagon R,2018,5.5,Comprehensive,Petrol,5,Manual,9,11,21,20.51,Red,998,Bangalore
Hatchback,74000,1,Hyundai,Hyundai i10,2013,3.65,Comprehensive,LPG,5,Manual,8,8,14,19.2,Grey,1086,Bangalore
Hatchback,26500,2,Renault,Renault KWID,2016,4.2,Comprehensive,Petrol,5,Automatic,9,9,21,24.04,Red,999,Bangalore
Sedan,81716,1,Volvo,Volvo S60,2017,18.95,Comprehensive,Diesel,5,Automatic,9,22,29,27.03,Silver,1969,Bangalore
Sedan,24000,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,59.9,Comprehensive,Diesel,5,Automatic,9,31,38,19.095,White,2987,Bangalore
SUV,10000,1,Mahindra,Mahindra XUV300,2022,10.5,Third Party insurance,Petrol,5,Automatic,9,13,27,19.095,White,1197,Bangalore
SUV,18000,1,MG,MG Hector Plus,2021,20.75,Comprehensive,Petrol,6,Automatic,9,20,24,16.56,Black,1451,Bangalore
